email_date,email_subject,company,eval_pct,rank,notes,ticker,sell_target_date,status,buy_date,buy_price,sell_date,sell_price,return_pct,end_value_usd,holding_days
2026-07-03,Weekly Market Movers: Global Majors & Industry (03 Jul 2026),Moderna,19.0,3,,MRNA,2026-08-03,ok,2026-07-06 00:00:00-04:00,81.80000305175781,2026-08-03 00:00:00-04:00,55.13999938964844,-32.591690302554916,0.6740830969744509,28.0
2026-07-06,Weekly Asia Market Movers: Global Majors & Industry (06 Jul 2026),Beijing Hotgen Biotech,59.0,1,,688068.SS,2026-08-06,ok,2026-07-06 00:00:00+08:00,135.0,2026-08-06 00:00:00+08:00,104.19000244140625,-22.82222041377315,0.7717777958622685,31.0
2026-07-06,Weekly Asia Market Movers: Global Majors & Industry (06 Jul 2026),Easton Biopharmaceuticals,32.0,2,,688276.SS,2026-08-06,ok,2026-07-06 00:00:00+08:00,14.989999771118164,2026-08-06 00:00:00+08:00,14.899999618530273,-0.6004012939432964,0.993995987060567,31.0
2026-07-06,Weekly Asia Market Movers: Global Majors & Industry (06 Jul 2026),Health and Happiness (H&H) International Holdings,27.0,3,,1112.HK,2026-08-06,ok,2026-07-06 00:00:00+08:00,13.460000038146973,2026-08-06 00:00:00+08:00,14.920000076293945,10.846954190261426,1.1084695419026143,31.0
2026-07-06,Daily Market Movers: Global Majors & Industry (06 Jul 2026),Bioventus,12.0,1,,BVS,2026-08-06,ok,2026-07-06 00:00:00-04:00,11.779999732971191,2026-08-06 00:00:00-04:00,13.979999542236328,18.67572036616885,1.1867572036616885,31.0
2026-07-06,Daily Market Movers: Global Majors & Industry (06 Jul 2026),REGENXBIO,12.0,2,,RGNX,2026-08-06,ok,2026-07-06 00:00:00-04:00,14.829999923706055,2026-08-06 00:00:00-04:00,11.279999732971191,-23.93796499661552,0.7606203500338449,31.0
2026-07-06,Daily Market Movers: Global Majors & Industry (06 Jul 2026),Omeros,11.0,3,,OMER,2026-08-06,ok,2026-07-06 00:00:00-04:00,10.34000015258789,2026-08-06 00:00:00-04:00,13.149999618530273,27.176009907882808,1.271760099078828,31.0
2026-07-07,Daily Market Movers: Global Majors & Industry (07 Jul 2026),Crinetics Pharmaceuticals,99.0,1,,CRNX,2026-08-07,incomplete,2026-07-07 00:00:00-04:00,83.52999877929688,,,,,
2026-07-07,Daily Market Movers: Global Majors & Industry (07 Jul 2026),Agios Pharmaceuticals,18.0,2,,AGIO,2026-08-07,ok,2026-07-07 00:00:00-04:00,44.0099983215332,2026-08-07 00:00:00-04:00,32.27000045776367,-26.675751673513215,0.7332424832648679,31.0
2026-07-07,Daily Market Movers: Global Majors & Industry (07 Jul 2026),Viking Therapeutics,9.0,3,,VKTX,2026-08-07,ok,2026-07-07 00:00:00-04:00,42.130001068115234,2026-08-07 00:00:00-04:00,34.2599983215332,-18.680281383942795,0.813197186160572,31.0
2026-07-08,Daily Market Movers: Global Majors & Industry (08 Jul 2026),Xenon Pharmaceuticals,10.0,1,,XENE,2026-08-08,ok,2026-07-08 00:00:00-04:00,69.94999694824219,2026-08-10 00:00:00-04:00,64.2300033569336,-8.17726067313622,0.9182273932686378,33.0
