email_date	email_subject	rank	company	evaluation	notes
5/18/2026	Weekly Asia Market Movers: Global Majors & Industry (18 May 2026)	9	Chengdu Olymvax Biopharmaceuticals	11%	
5/18/2026	Daily Market Movers: Global Majors & Industry (18 May 2026)	10	tumor types using the MI Cancer Seek platform. 10 Natera	3%	
5/18/2026	Weekly Asia Market Movers: Global Majors & Industry (18 May 2026)	10	Asahi Kasei	10%	
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	1	Olympus	8%	
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	2	Corcept Therapeutics	6%	
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	3	Liquidia Corporation	5%	
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	4	Rohto Pharmaceutical	5%	
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	5	Lonza	4%	19 May: Shares rise after company was named as a key company in the latest market analysis by Future Market Insights in biologics manufacturing and cell therapy expansion.
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	6	Repligen	4%	
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	7	Orion	4%	
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	8	10x Genomics	4%	
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	9	Lion	4%	
5/19/2026	Daily Market Movers: Global Majors & Industry (19 May 2026)	10	Yakult Honsha	4%	
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	1	Immunovant	35%	20 May: Company reports positive preliminary phase IIb data for imvt-1402 in difficult-to-treat rheumatoid arthritis.
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	2	UBE Corporation	21%	
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	3	Roivant Sciences	15%	
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	4	Summit Therapeutics	13%	
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	5	Dyne Therapeutics	10%	20 May: Company initiates phase III forzetto trial of dyne-251 in Duchenne Muscular Dystrophy ahead of a planned BLA submission for U.S. accelerated approval.
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	6	Viridian Therapeutics	10%	
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	7	Immunome	9%	
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	8	Mineralys Therapeutics	9%	
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	9	Twist Bioscience	8%	
5/20/2026	Daily Market Movers: Global Majors & Industry (20 May 2026)	10	Spyre Therapeutics	8%	
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	1	Twist Bioscience	10%	
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	2	BioMarin Pharmaceutical	8%	21 May: Company announces positive Phase III results for Voxzogo in children with hypochondroplasia.
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	3	Immunome	7%	
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	4	Mineralys Therapeutics	6%	
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	5	Structure Therapeutics	5%	
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	6	Relay Therapeutics	5%	21 May: Company announces the pricing of 22,916,667 shares of common stock for $12 per share.
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	7	Praxis Precision Medicines	5%	
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	8	Erasca	4%	
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	9	Viking Therapeutics	4%	21 May: Company announces they will participate at the William Blair 46th Annual Growth Stock Conference and the Jefferies Global Healthcare Conference in June.
5/21/2026	Daily Market Movers: Global Majors & Industry (21 May 2026)	10	Haemonetics	4%	
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	1	Oncolys BioPharma	44%	25 May: Company receives approval in Japan for the Telomelysin in the treatment of Oesophageal Cancer.
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	1	Holy Stone Enterprise	45%	
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	1	UBE Corporation	25%	
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	2	Sun Pharma Advanced Research	44%	
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	2	Unitika	24%	
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	2	Immunovant	24%	20 May: Company reports positive preliminary phase IIb data for imvt-1402 in difficult-to-treat rheumatoid arthritis
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	3	Twist Bioscience	23%	
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	3	Sakai Chemical Industry	21%	
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	3	HanAll BioPharma	38%	
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	4	Vicore Pharma	13%	25 May: Company announces it has filed a registration statement with the US SEC to pursue US Dual listing.
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	4	Sakai Chemical Industry	22%	
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	4	Terumo	21%	
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	5	Oncolys BioPharma	20%	
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	5	Iovance Biotherapeutics	19%	25 May: The company approved the grant of inducement stock options covering an aggregate of 93,340 share of common stock to thirteen new, non-executive employees
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	5	Indaptus Therapeutics	13%	
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	6	Hamamatsu Photonics	11%	
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	6	Unitika	20%	
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	6	Abivax	16%	25 May: Company announces Q1'26 results.
5/25/2026	Weekly Market Movers: Global Majors & Industry (25 May 2026)	7	Sartorius	14%	
5/25/2026	Daily Market Movers: Global Majors & Industry (25th May 2026)	7	Iovance Biotherapeutics	11%	25 May: The company approved the grant of inducement stock options covering an aggregate of 93,340 share dof common stock to thirteen new, non-executive employees.
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	7	Caliway Biopharmaceuticals	14%	
5/25/2026	Weekly Asia Market Movers: Global Majors & Industry (25 May 2026)	8	D&amp;D Pharmatech	12%	
